Id,Question,Question Type,Grade Point,Status,Created At,Average Performance
082f14dd-d3c8-4878-a3c8-0f043c22a0c5,How do you stay motivated during long-term projects?,SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:37:50.163622+00:00,0.0
08819b58-3cb3-4e76-8a01-cf61667a724c,"When facing a conflict with a colleague, you:",SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:37:50.163582+00:00,0.0
4de599e0-5777-463b-ac22-15029e64e2cc,"When learning a new skill, you tend to:",SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:37:50.163501+00:00,0.0
f71921d9-025d-47fa-8300-6a447df3dc7d,How do you prioritize your tasks when you have multiple deadlines?,SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:37:50.163460+00:00,0.0
fb1f8010-883a-4b8d-bba0-f5c54d2e7440,"When working in a team, you prefer to:",SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:37:50.163416+00:00,0.0
61f1aa02-a2c3-4184-8ad1-c7c1cc3b9d81,How do you handle constructive criticism?,SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:37:50.163358+00:00,0.0
dfa4ebd1-25d9-4e74-a004-17a5d98521b3,"When faced with a challenging problem at work, I typically:",SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:37:50.162974+00:00,0.0
ec2af9ee-8138-42c8-ac1a-e5b972463b6f,How do you stay motivated during long-term projects?,SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:55.523641+00:00,0.0
e69d68c8-600c-48e6-aad2-6e042bb80176,"When facing a conflict with a colleague, you:",SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:55.523598+00:00,0.0
faf8e0a4-93a1-4a40-9edf-72d7229d1656,How do you respond when you make a mistake at work?,SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:55.523542+00:00,0.0
7db608c9-4ee6-4901-9a29-3cce05c06e85,"When learning a new skill, you tend to:",SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:55.523478+00:00,0.0
c3432e5a-89f8-455e-a2e0-ce52504c53ee,How do you prioritize your tasks when you have multiple deadlines?,SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:55.523392+00:00,0.0
31ab4f66-50b7-425b-9fec-9025b8024e8f,"When working in a team, you prefer to:",SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:55.523323+00:00,0.0
371d3a2c-9a4e-4b5f-96e3-e0dd60e46abb,How do you handle constructive criticism?,SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:55.523253+00:00,0.0
5652898f-5ffb-49e4-9938-7f89de2c2e66,"When faced with a challenging problem at work, I typically:",SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:55.523114+00:00,0.0
c4540873-86b9-436c-a9f4-f3c869ed33fa,How do you stay motivated during long-term projects?,SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:34.384985+00:00,0.0
7c29848e-0545-413a-8ce6-6544ee5fc344,"When facing a conflict with a colleague, you:",SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:34.384946+00:00,0.0
17a3507c-0780-4016-9b76-77ee7e7f0e41,How do you respond when you make a mistake at work?,SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:34.384906+00:00,0.0
8dbeb6e2-991e-4d1b-9905-26384f59bfcb,"When learning a new skill, you tend to:",SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:34.384865+00:00,0.0
f62ebf99-601b-4b3a-bf8e-341a9e1d6804,How do you prioritize your tasks when you have multiple deadlines?,SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:34.384825+00:00,0.0
d4984b8b-bc4d-49cd-a154-61aa4d6ab53c,"When working in a team, you prefer to:",SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:34.384783+00:00,0.0
f2f3540d-a9e2-4eb9-9b9a-288bdafca973,How do you handle constructive criticism?,SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:34.384739+00:00,0.0
4937c219-d320-450a-8a71-f44a2833a23b,"When faced with a challenging problem at work, I typically:",SINGLE_CHOICE,1,INACTIVE,2026-02-25T09:35:34.384648+00:00,0.0
858b5140-603f-49ee-b670-25f7eddc64db,"I enjoy puzzles, brain teasers, and logical games.",SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804856+00:00,0.0
f761434f-e964-4a1d-adaa-758eb16fa2c3,"I am confident in my ability to learn complex, technical subjects.",SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804816+00:00,0.0
9242d0cc-35e3-4dad-9a0b-d040aa5b660f,"When I fail at a complex task, my first instinct is to analyze my mistake and try again.",SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804775+00:00,0.0
232f2aab-7101-4404-9b7c-98c661d5e717,"My primary motivation for joining this program comes from my own interest, not from pressure from others.",SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804736+00:00,0.0
e1ff4749-4852-4559-9691-bd4709133239,"I have a clear, specific career goal that this program will help me achieve.",SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804697+00:00,0.0
28208d39-5bff-491f-99b3-ba9dd977b9cd,I maintain consistent working hours to establish routine.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804657+00:00,0.0
11213535-08d5-4c01-90aa-61ff439a7806,I build buffer time into my schedules for unexpected delays.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804617+00:00,0.0
16c7b62d-a74c-406b-ac82-d13639c818f5,I can estimate realistic timeframes for completing work.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804577+00:00,0.0
e3dea5ec-742e-4aec-b698-93937e89f2a8,I balance urgent tasks with important long-term goals.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804538+00:00,0.0
08b6e517-5a6d-4dd3-aabc-300cde431cd7,I regularly review how I spend my time to identify improvements.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804498+00:00,0.0
4eaefb1c-d845-4f03-8e64-f9eccc7c64f2,I set specific time limits for tasks to maintain productivity.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804459+00:00,0.0
9d79f436-a448-4dd9-9edc-5cd0a37bd93a,I minimize distractions during focused work periods.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804419+00:00,0.0
d12dfea1-0272-4c56-8877-91c7b9daa1c2,I allocate time based on task priority.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804378+00:00,0.0
a8d4d3d2-131d-4c1b-804b-850f2adecfc5,I avoid procrastination on important tasks.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804313+00:00,0.0
01839fd7-f1ee-46d1-aec3-0220de4c2674,I use calendars or planners to organize my schedule.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804273+00:00,0.0
abef520e-a0be-4ad2-a64a-bd35d94a26f9,I revise my thinking when presented with new evidence.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804234+00:00,0.0
0e5d9b42-8916-413d-a5a2-db55f20c0d26,I approach complex issues with curiosity and skepticism.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804196+00:00,0.0
95824a19-1c2c-4067-b661-40eda77d6ca2,I can identify the root cause of problems.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804156+00:00,0.0
60f1e706-678d-4b60-a9eb-768376f1f210,I consider potential consequences before making decisions.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804117+00:00,0.0
5c87cbfb-4aa9-4f4c-9d5a-c4cfa5bc4545,I distinguish between facts and opinions in discussions.,SINGLE_CHOICE,1,INACTIVE,2026-02-25T07:48:02.804078+00:00,0.0
