Id,Name,Location,State,Contact Email,Contact Phone,School Type,Status,Rating,Total Learners,Website,Logo Url,Created At,Accreditation Number,Total Centers,Active Centers,Review Count
f605f64c-5fe2-4e44-9e27-f65a1cdabfc5,Gerhold and Sons,"Fort Karl, Nigeria",ABIA,alison.kihn81@yahoo.com,09039205957,UNIVERSITY,ACTIVE,0.0,0,https://dim-newsprint.com/,https://api.object-storage.prunedge.com/coursera-dev-storage/schools/logos/test-institution.jpg_bc8c54f9,2026-05-12T21:38:58.453749+00:00,RLDUKGA4MC,0,0,0
9bd12d32-2922-46fd-ad42-94ca73a012d9,Green - Bartoletti,"Rogahnmouth, Nigeria",ABIA,danny64@yahoo.com,09039205957,UNIVERSITY,ACTIVE,0.0,0,https://blaring-ruin.com,https://api.object-storage.prunedge.com/coursera-dev-storage/schools/logos/test-institution.jpg_a9690a50,2026-05-12T21:37:45.535532+00:00,CQ1MGFT0CN,0,0,0
0c5c5a64-671c-41a0-9051-e68818699d4e,Wilkinson LLC,"New Lessie, Nigeria",ABIA,kaci.bednar2@yahoo.com,09039205957,UNIVERSITY,ACTIVE,0.0,0,https://muddy-caption.org/,https://api.object-storage.prunedge.com/coursera-dev-storage/schools/logos/test-institution.jpg_a360d876,2026-05-12T21:33:29.213588+00:00,WABYWSLYSX,0,0,0
8fbed99c-5c3b-435b-8d53-172b29e3d70a,Dietrich - Kuvalis,"Castro Valley, Nigeria",ABIA,lucie.schaden12@hotmail.com,09039205957,UNIVERSITY,ACTIVE,0.0,0,https://punctual-department.name/,https://api.object-storage.prunedge.com/coursera-dev-storage/schools/logos/test-institution.jpg_fa2b9628,2026-05-12T21:25:01.209597+00:00,FEPQCI3MHV,0,0,0
5fb4b1e4-1207-4702-a369-a201a56f0c01,Green - Hudson,"Jeraldberg, Nigeria",ABIA,osborne.emmerich@yahoo.com,09039205957,UNIVERSITY,ACTIVE,0.0,0,https://junior-vibraphone.net,https://api.object-storage.prunedge.com/coursera-dev-storage/schools/logos/test-institution.jpg_c18a4dae,2026-05-12T21:24:03.564777+00:00,PVI1YR4P2F,0,0,0
2d864b4b-dd07-4464-b0a1-4fd02caabbe8,Gerlach - Heller,"Lake Darrinfurt, Nigeria",ABIA,bruce77@hotmail.com,09039205957,UNIVERSITY,ACTIVE,0.0,0,https://formal-hoof.biz,https://api.object-storage.prunedge.com/coursera-dev-storage/schools/logos/test-institution.jpg_e024d1a3,2026-05-12T21:21:31.152061+00:00,IGWWBS7GBU,0,0,0
3cefab35-4306-4898-89f7-c6390a8780d3,Batz Inc,"McLean, Nigeria",ABIA,kimberly.morar11@yahoo.com,09039205957,UNIVERSITY,ACTIVE,0.0,0,https://monstrous-rawhide.com,https://api.object-storage.prunedge.com/coursera-dev-storage/schools/logos/test-institution.jpg_d30dd4f1,2026-05-12T21:12:12.354695+00:00,WTEEWRDLBI,0,0,0
f973d4a1-cce7-4fdb-ae86-867f003042c2,Kemmer - Kuvalis,"Enid, Nigeria",ABIA,wyatt_brown93@yahoo.com,09039205957,UNIVERSITY,ACTIVE,0.0,0,https://weighty-chasuble.net/,https://api.object-storage.prunedge.com/coursera-dev-storage/schools/logos/test-institution.jpg_32371a02,2026-05-12T15:15:17.463493+00:00,UPU1XVUSSY,0,0,0
ac2c0241-eaef-4eec-ae19-43ba7f45b9ff,"Kunze, Farrell and Kirlin","Hermannport, Nigeria",ABIA,ezekiel.schimmel30@hotmail.com,09039205957,UNIVERSITY,ACTIVE,0.0,0,https://authorized-laughter.name/,https://api.object-storage.prunedge.com/coursera-dev-storage/schools/logos/test-institution.jpg_db442a2b,2026-05-12T15:14:27.394018+00:00,ONHYKJRLRP,0,0,0
bc1ae9f2-c298-4f43-9f97-3d757563b55e,"Gulgowski, Hodkiewicz and Ullrich","Palm Beach Gardens, Nigeria",ABIA,sergio.wiegand@yahoo.com,09039205957,UNIVERSITY,ACTIVE,0.0,0,https://dental-giant.name/,https://api.object-storage.prunedge.com/coursera-dev-storage/schools/logos/test-institution.jpg_ec1110a0,2026-05-12T15:08:31.326094+00:00,MEZJY0VN49,0,0,0
5001785d-4b97-4a87-aacd-34f75a46b132,"Simonis, Hermann and Dietrich","Adamsstad, Nigeria",ABIA,rafaela.berge@gmail.com,09039205957,UNIVERSITY,ACTIVE,0.0,0,https://excitable-cellar.name,https://api.object-storage.prunedge.com/coursera-dev-storage/schools/logos/test-institution.jpg_4fab2f5d,2026-05-12T15:05:31.634025+00:00,I1U5JF711Z,0,0,0
